224,100,15.2,69
307.5,100,0.7,69
664,84,13.6,69
173.5,86,12.2,69
30781,95,0.1,69
4067,100,4.3,69
195.5,89,10.7,69
108.66,96,2.4,69
786.27,100,1,68
263.62,70,4.1,68
262.34,100,6.1,68
468,83,10.6,68
2007.5,100,3.7,68
977,100,13.7,68
101,100,1.3,68
278.67,74,3.4,68
9352.66,79,0.9,68
217.67,96,7.1,68
1653,100,4.6,68
1226,100,3.2,68
530.37,100,1.5,68
574.88,97,1.9,67
146,100,2.5,67
208.5,100,0.7,67
383.95,100,2.4,67
1075.33,100,1.2,67
172,100,2.4,67
157.5,86,12.2,67
437.62,70,1,67
130,83,10,67
114.73,59,10.7,67
631,100,10,67
403.66,100,5.7,67
498.2,93,5.8,67
999.71,99,0.8,67
1709.933,100,0.6,67
152,83,12.4,67
181,83,18.1,67
116.75,57,2.7,66
65.34,40,2.1,66
308,100,4.2,66
427.91,100,3.8,66
409,100,8.2,66
437.4,100,1.4,66
553.65,100,1.1,66
483.25,92,4.9,66
373.53,100,8.1,65
151.33,63,18.1,65
384.67,100,9.1,65
431.46,95,1.6,65
234.5,86,13.3,65
150.87,70,5.5,65
946.45,99,0.7,65
258.5,100,10.2,64
197.5,86,6,64
150,72,18.9,64
298,83,15.7,64
232,100,0.6,64
431,83,19.8,64
393,100,8.3,64
190.5,86,12.4,64
742,100,7.4,64
307,100,5.6,64
104.34,64,4.6,64
1292,100,9.3,64
1722,73,3.7,64
544,100,4.7,64
276.5,86,10.5,64
1308,100,6.3,64
391.8,98,2.8,63
198.5,78,8.1,63
117.25,100,0.8,63
2874.5,75,0.3,63
176.56,52,1.1,63
1044,100,7.1,63
164.75,79,1.7,63
170.33,53,1,63
516.75,100,0.5,63
183.5,86,13.3,63
227.57,63,6.6,63
197,80,0.9,62
329,100,4.6,62
7170.79,85,0.6,62
236.3,62,1.7,62
593.17,64,5.2,62
79.28,44,4,62
333,84,10.6,62
3103,100,5.3,62
724,92,0.9,61
795.42,88,2.6,61
278.5,86,8,61
579,100,0.6,61
197.75,100,0.5,61
392,83,15.8,61
111,84,4.1,61
14142.67,90,0.6,61
1037.33,100,2,61
460.47,100,4.9,61
1463.5,100,2.4,61
677.69,100,0.8,61
133,83,1.4,60
396,86,10.6,60
1075.5,100,2.2,60
218.6,100,5.5,60
182.68,54,5.5,60
193.69,54,6.4,60
200.33,63,10.6,60
242.75,78,7.1,60
450.5,86,7.9,60
23365,99,0.9,60
784,100,7.2,59
693,86,5.2,59
132.13,85,3,59
1903,64,3.6,59
2997.65,73,0.4,59
2997.65,73,0.4,59
424,60,4.8,59
308,100,5.8,59
1438.75,100,0.7,59
298,78,5.9,58
340,87,1.4,58
213.67,63,4.6,58
77.56,17,9.2,58
224.5,72,10.8,58
529,100,2.9,58
514.7,80,2.7,58
2396,100,0.2,57
530.25,56,4,57
164.43,66,2.1,57
751,83,6.8,57
259.5,78,7.4,57
291.07,25,5.2,57
274,86,5.6,56
3316.2,89,0.2,56
226.42,65,3.4,56
25921,97,0.8,56
281.07,68,2,56
248.67,88,1.4,56
3112.66,99,2.6,56
